date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:26	42125/42125	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:27%20GMT	https://www.calm.com/terms	E:/Ung%20dung/Calm/www.calm.com/terms.html	(from https://www.calm.com/)
13:53:27	100/100	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Nov%202016%2013:53:27%20GMT	https://www.calm.com/twitter	E:/Ung%20dung/Calm/www.calm.com/twitter	(from https://www.calm.com/)
13:53:27	106/106	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Nov%202016%2013:53:27%20GMT	https://www.calm.com/instagram	E:/Ung%20dung/Calm/www.calm.com/instagram	(from https://www.calm.com/)
13:53:27	114/114	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Nov%202016%2013:53:28%20GMT	https://www.calm.com/facebook	E:/Ung%20dung/Calm/www.calm.com/facebook	(from https://www.calm.com/)
13:53:28	23531/23531	---M--	200	added ('OK')	image/jpeg	etag:%2240480112a0555a5b869047c31358d2bc%22	http://cdn.calm.com/images/scene-bg-Qqkzy9k7Eo.jpg?v=1418162241210	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-Qqkzy9k7Eo6163.jpg	(from https://www.calm.com/)
13:53:29	19429/19429	---M--	200	added ('OK')	image/jpeg	etag:%22a9a0da91ab239071d635c038a148189c%22	http://cdn.calm.com/images/scene-bg-nGWcJdvlQ2.jpg?v=1418162808152	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-nGWcJdvlQ2d3ee.jpg	(from https://www.calm.com/)
13:53:31	20156/20156	---M--	200	added ('OK')	image/jpeg	etag:%226e33b58b1e08d71193d311bf8d539998%22	http://cdn.calm.com/images/scene-bg-HKceZ4c2nt.jpg?v=1418162712323	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-HKceZ4c2ntad09.jpg	(from https://www.calm.com/)
13:53:32	12780/12780	---M--	200	added ('OK')	image/jpeg	etag:%22389dbebec88f8c7bba5aa4398f9e1927%22	http://cdn.calm.com/images/scene-bg-WdVY0QGD4.jpg?v=1450780565810	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-WdVY0QGD4e46f.jpg	(from https://www.calm.com/)
13:53:32	16747/16747	---M--	200	added ('OK')	image/jpeg	etag:%227fd25bc5b053153e31663cb132d9eb6b%22	http://cdn.calm.com/images/scene-bg-OE6oKvgzM.jpg?v=1450781109293	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-OE6oKvgzMd7a6.jpg	(from https://www.calm.com/)
13:53:35	25671/25671	---M--	200	added ('OK')	image/jpeg	etag:%2271e511611833292580163ab3f5574c7c%22	http://cdn.calm.com/images/scene-bg-9ZtcCFclEH.jpg?v=1417688404401	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-9ZtcCFclEHa29c.jpg	(from https://www.calm.com/)
13:53:35	18313/18313	---M--	200	added ('OK')	image/jpeg	etag:%2214fc5cd111f41eddd284d9f5a07596bf%22	http://cdn.calm.com/images/scene-bg-Jcmdfl7dA7.jpg?v=1417688397857	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-Jcmdfl7dA74b4c.jpg	(from https://www.calm.com/)
13:53:37	23776/23776	---M--	200	added ('OK')	image/jpeg	etag:%2272282814d2f06ae91dea3a6072428631%22	http://cdn.calm.com/images/scene-bg-Uz5hyVfJcr.jpg?v=1417688411526	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-Uz5hyVfJcr97c8.jpg	(from https://www.calm.com/)
13:53:38	12302/12302	---M--	200	added ('OK')	image/jpeg	etag:%222602f4ab660a1cc31cdb98ace79d3bf2%22	http://cdn.calm.com/images/scene-bg-N0LlltMMDH.jpg?v=1417688424811	E:/Ung%20dung/Calm/cdn.calm.com/images/scene-bg-N0LlltMMDH4f38.jpg	(from https://www.calm.com/)
